Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
17/07/17,"28 FERGUSON RD, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,455000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"28 WALTHAM TERRACE, BLACKROCK, DUBLIN",,Dublin,1875000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"3 Belarmine Woods, Belarmine Woods, Stepaside",Dublin 18,Dublin,475770,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/07/17,"3 LINENHALL ST, OFF NORTH KING ST, DUBLIN 7",,Dublin,240000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"345 The Oaks, Trimbleston, Goatstown Road",Dublin 14,Dublin,286344,No,Yes,New Dwelling house /Apartment,less than 38 sq metres
17/07/17,"35 MOUNT PROSPECT PARK, CLONTARF, DUBLIN 3",Dublin 3,Dublin,408750,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"37 ABBEY PARK, BALDOYLE, DUBLIN 13",Dublin 13,Dublin,450000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"38 THE MILLS, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,262500,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"4 BALALLY HILL, DUNDRUM, DUBLIN 16",Dublin 16,Dublin,522000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"4 The Drive  Hazelbrook Square, Churchtown, Dublin 14",Dublin 14,Dublin,506608,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
17/07/17,"41 DURSEY ROW, WATERVILLE, BLANCHARDSTOWN DUBLIN 15",Dublin 15,Dublin,233000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"42 Ascaill Pairc an tSioda, Old Naas Road, Kingswood",,Dublin,224600,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/07/17,"43 THE WARREN, MALAHIDE, DUBLIN",,Dublin,450000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"44 SESKIN VIEW RD, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,257500,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"48A BEECHPARK AVE, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,720000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"5 BELARMINE PARK, STEPASIDE, DUBLIN 18",Dublin 18,Dublin,825000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"52 CHANDLERS GUILD, JAMES ST, DUBLIN",Dublin 8,Dublin,222000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"53 GROSVENOR ROAD, DUBLIN 6",,Dublin,1150000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"58 PARK DR GREEN, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,390000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"6 BRAEMORE PASTURES, DRIVE, BALBRIGGAN",Dublin 3,Dublin,180000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"60 CLANCY RD, FINGLAS, DUBLIN 11",Dublin 11,Dublin,240000,Yes,No,Second-Hand Dwelling house /Apartment,
17/07/17,"64 Roseland Avenue, Cualanor, Upper Glenageary Road",,Dublin,643172,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/07/17,"7 LISMORE RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,123393,Yes,No,Second-Hand Dwelling house /Apartment,
17/07/17,"74 CLARENCE MANGAN ROAD, DUBLIN 8",,Dublin,365000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"79 CASTLE HEATH, MALAHIDE, CO DUBLIN",,Dublin,281000,No,No,Second-Hand Dwelling house /Apartment,
