Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
14/07/17,"Ardnabel Lodge, Olivemount Road, Dundrum",Dublin 14,Dublin,578855,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
14/07/17,"BUSHFIELD, WYANSTOWN, OLDTOWN",,Dublin,421000,No,No,Second-Hand Dwelling house /Apartment,
14/07/17,"CHARLEVILLE, HARBOUR ROAD, DALKEY",,Dublin,3250000,No,No,Second-Hand Dwelling house /Apartment,
14/07/17,"SAN JOSE, HAZELBROOK, MALAHIDE",,Dublin,1295000,No,No,Second-Hand Dwelling house /Apartment,
14/07/17,"THE HILLS, BEARNAGEARY, BALROTHERY",Dublin 24,Dublin,351000,No,No,Second-Hand Dwelling house /Apartment,
14/07/17,"THE OLD SCHOOL HOUSE, DAMASTOWN, NAUL",,Dublin,287000,No,No,Second-Hand Dwelling house /Apartment,
15/07/17,"92 EAST ROAD, EAST WALL, DUBLIN 3",,Dublin,142500,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"10 ARKLOW ST, STONEYBATTER, DUBLIN 7",Dublin 7,Dublin,165000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"11 CHURCH AVE, BLANCHARDSTOWN, DUBLIN 15",Dublin 15,Dublin,230000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"11 DONAGHMEDE DR, DUBLIN 13, DUBLIN",Dublin 13,Dublin,330000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"119 CASTLEFORBES SQ BLOCK C, CASTLEFORBES RD, DUBLIN 1",Dublin 1,Dublin,260000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"132 KELVIN CLOSE, PORTMARNOCK, DUBLIN",Dublin 13,Dublin,590000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"14 FANCOURT, BALBRIGGAN, DUBLIN",,Dublin,340000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"14 NEWHALL COURT, BLESSINGTON RD, TALLAGHT DUBLIN 24",Dublin 24,Dublin,270000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"145 OXMANTOWN RD, STONEYBATTER, DUBLIN 7",Dublin 7,Dublin,390000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"150 CHARLEVILLE SQ, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,387000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"16 SOUTH GATE ST, CORK ST, DUBLIN 8",Dublin 8,Dublin,210000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"17 COLTHURST RD, HUNTINGTON GLEN, LUCAN",,Dublin,284000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"18 BELVEDERE RD, DUBLIN 1, DUBLIN",Dublin 1,Dublin,437000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"2 ST BRIGIDS PARK, BLANCHARDSTOWN, DUBLIN 15",Dublin 15,Dublin,300000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"21 ABBEYVALE CRESENT, SWORDS, DUBLIN",,Dublin,290000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"21 WHITETHORN RD, CLONSKEAGH, DUBLIN 14",Dublin 14,Dublin,835000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"23 Castlegrange Court, Castlegrange",Dublin 15,Dublin,268722,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/07/17,"23 GRANVILLE RD, DUN LAOGHAIRE, DUBLIN",,Dublin,665000,No,No,Second-Hand Dwelling house /Apartment,
17/07/17,"23 SPRINGHILL PARK, DEANS GRANGE, DUBLIN",,Dublin,581000,No,No,Second-Hand Dwelling house /Apartment,
